# Best solutions for SA on IsingTorus100
# seed	best_solution	output_dir
0	162.0	Examples/TrajBasedResults/SA_IsingTorus100_Seed0
1	160.0	Examples/TrajBasedResults/SA_IsingTorus100_Seed1
2	152.0	Examples/TrajBasedResults/SA_IsingTorus100_Seed2
3	166.0	Examples/TrajBasedResults/SA_IsingTorus100_Seed3
4	168.0	Examples/TrajBasedResults/SA_IsingTorus100_Seed4
5	166.0	Examples/TrajBasedResults/SA_IsingTorus100_Seed5
6	162.0	Examples/TrajBasedResults/SA_IsingTorus100_Seed6
7	164.0	Examples/TrajBasedResults/SA_IsingTorus100_Seed7
8	162.0	Examples/TrajBasedResults/SA_IsingTorus100_Seed8
9	168.0	Examples/TrajBasedResults/SA_IsingTorus100_Seed9
